,RatingCount
m2858,3428
m260,2991
m1196,2990
m1210,2883
m480,2672
m2028,2653
m589,2649
m2571,2590
m1270,2583
m593,2578
m1580,2538
m1198,2514
m608,2513
m2762,2459
m110,2443
m2396,2369
m1197,2318
m527,2304
m1617,2288
m1265,2278
m1097,2269
m2628,2250
m2997,2241
m318,2227
m858,2223
m356,2194
m2716,2181
m296,2171
m1240,2098
m1,2077
m1214,2024
m2916,1996
m457,1995
m3578,1924
m1200,1820
m541,1800
m2987,1799
m1259,1785
m50,1783
m34,1751
m2791,1731
m780,1730
m3175,1728
m1193,1725
m919,1718
m924,1716
m1127,1715
m2355,1703
m1387,1697
m1221,1692
m912,1669
m1036,1666
m1213,1657
m1610,1652
m377,1650
m1291,1628
m2000,1627
m1136,1599
m3114,1585
m1307,1568
m1704,1548
m1721,1546
m1968,1539
m648,1527
m2599,1522
m32,1511
m3793,1511
m2174,1495
m2797,1491
m2918,1473
m2291,1473
m3471,1451
m2959,1451
m590,1451
m1374,1448
m1394,1434
m2683,1434
m592,1431
m1784,1424
m1573,1421
m1304,1419
m3418,1417
m223,1412
m380,1400
m2706,1389
m1225,1382
m1584,1382
m1527,1377
m3481,1373
m1923,1371
m750,1367
m2699,1367
m39,1362
m21,1356
m1393,1353
m2804,1352
m588,1351
m2406,1345
m1220,1341
m733,1340
